date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,exit_time,mfe_pct,mae_pct,material_strength,volume_surge,gap_pct
20250925,4814,ネクストウェア,164.0,162.35999999999999,2400,-3936.0000000000355,-1.000000000000009,損切り,09:58,0.6098,-1.2195,中,17.717776267305833,-22.274881516587676
20250926,7066,ピアズ,717.0,709.83,500,-3584.9999999999795,-0.9999999999999943,損切り,09:11,1.3947,-1.6736,中,12.067487207855068,-7.124352331606221
20250929,1807,佐藤渡辺,1762.0,1752.0,200,-2000.0,-0.5675368898978433,大引け,15:30,1.0783,-0.5675,中,16.868512110726645,0.5707762557077611
20250930,6522,アスタリスク,422.0,417.78,900,-3798.0000000000246,-1.0000000000000064,損切り,09:08,0.237,-1.4218,中,11.754624130324114,5.2369077306733125
20251001,6060,nan,1067.0,1056.33,300,-3201.000000000022,-1.0000000000000069,損切り,13:47,0.0,-2.9991,中,15.803892215568862,2.2030651340996243
20251002,8518,日本アジア投資,228.0,232.56,1700,7752.000000000004,2.000000000000001,利確,09:06,3.0702,0.0,中,10.41248,-5.394190871369298
20251003,7399,ナンシン,585.0,580.0,600,-3000.0,-0.8547008547008548,大引け,15:30,0.0,-0.8547,中,15.302089215132693,0.8620689655172376
20251007,6663,太洋テクノレックス,274.0,279.48,1400,7672.0000000000255,2.0000000000000067,利確,09:01,2.9197,0.0,中,12.476736395444057,-10.749185667752448
20251008,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,387.0,394.74,1000,7740.000000000009,2.0000000000000027,利確,14:01,2.3256,-0.7752,中,15.038928421933864,-1.2755102040816313
20251010,2341,アルバイトタイムス,195.0,193.05,2000,-3899.9999999999773,-0.9999999999999941,損切り,09:09,4.6154,-1.0256,中,17.08109836756647,5.405405405405395
20251014,3536,アクサスホールディングス,128.0,130.56,3100,7936.000000000007,2.0000000000000018,利確,10:19,2.3438,0.0,中,18.75012561551603,-16.33986928104575
20251015,7837,アールシーコア,457.0,452.43,800,-3655.9999999999945,-0.9999999999999984,損切り,09:40,0.0,-1.9694,中,15.97626112759644,3.628117913832196
20251016,9363,大運,462.0,471.24,800,7392.000000000007,2.000000000000002,利確,09:06,2.8139,0.0,中,16.19947604790419,-9.765625
20251017,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,71.0,72.42,5600,7952.000000000009,2.0000000000000027,利確,09:00,2.8169,0.0,中,16.9641288818556,-17.441860465116278
20251020,7636,ハンズマン,831.0,847.62,400,6648.000000000002,2.0000000000000004,利確,12:30,3.3694,0.0,中,13.594831564374712,-1.189060642092743
20251021,7035,ａｎｄ　ｆａｃｔｏｒｙ,222.0,226.44,1800,7991.999999999996,1.9999999999999991,利確,10:34,4.5045,0.0,中,16.466458480545235,-10.483870967741938
20251022,6046,リンクバル,122.0,124.44,3200,7807.999999999993,1.9999999999999982,利確,09:22,4.0984,0.0,中,15.855385652919702,-2.400000000000002
20251023,6838,多摩川ホールディングス,767.0,759.33,500,-3834.9999999999795,-0.9999999999999947,損切り,09:00,0.0,-1.4342,中,9.80011043622308,-2.292993630573248
20251024,2459,アウンコンサルティング,252.0,257.04,1500,7560.000000000031,2.000000000000008,利確,09:00,6.746,0.0,中,14.53517742730409,-22.22222222222222
20251027,7646,ＰＬＡＮＴ,1978.0,1958.22,200,-3955.9999999999945,-0.9999999999999987,損切り,09:21,0.0,-4.1962,中,14.209392503231363,4.711487559555327
20251029,7501,ティムコ,1196.0,1219.92,300,7176.000000000022,2.0000000000000058,利確,09:03,3.0936,0.0,中,15.798882681564246,6.785714285714284
20251030,6276,シリウスビジョン,247.0,251.94,1600,7903.999999999996,1.9999999999999991,利確,09:03,6.4777,-0.4049,中,16.168597485826965,-21.086261980830667
20251031,4875,メディシノバ・インク,180.0,183.6,2200,7919.999999999987,1.999999999999997,利確,09:01,5.5556,0.0,中,13.501221723023567,-20.70484581497798
20251104,6548,旅工房,139.0,141.78,2800,7784.000000000004,2.000000000000001,利確,09:07,3.5971,0.0,中,18.079874456398866,-24.864864864864867
20251105,4570,免疫生物研究所,478.0,487.56,800,7648.000000000002,2.0000000000000004,利確,09:01,4.6025,-0.6276,中,14.05260283946123,-13.5623869801085
20251106,3928,マイネット,223.0,227.46,1700,7582.000000000014,2.0000000000000036,利確,12:42,17.4888,-0.8969,中,19.45578002621937,-19.494584837545126
20251107,5923,高田機工,1084.0,1105.68,300,6504.000000000019,2.0000000000000058,利確,13:47,3.2288,-0.1845,中,12.885304659498209,-2.166064981949456
20251110,3422,Ｊ−ＭＡＸ,396.0,403.92,1000,7920.000000000016,2.000000000000004,利確,09:18,3.0303,-0.5051,中,18.52625937834941,-3.8834951456310662
20251111,7183,あんしん保証,158.0,156.42,2500,-3950.0000000000314,-1.000000000000008,損切り,09:09,0.0,-1.2658,中,16.398704870661142,0.0
20251112,4720,城南進学研究社,240.0,244.8,1600,7680.000000000018,2.000000000000005,利確,12:39,19.5833,0.0,中,18.75432525951557,-18.08873720136519
20251113,9221,フルハシＥＰＯ,1282.0,1269.18,300,-3845.999999999981,-0.999999999999995,損切り,09:09,1.4041,-1.8721,中,15.639503507825149,1.5847860538827252
20251117,4381,ビープラッツ,602.0,595.98,600,-3611.999999999989,-0.9999999999999969,損切り,09:17,0.9967,-1.1628,中,16.00572655690766,4.878048780487809
20251118,2656,ベクターホールディングス,121.0,119.78999999999999,3300,-3993.0000000000264,-1.0000000000000067,損切り,09:22,0.0,-1.6529,中,15.34758918135875,3.418803418803429
20251119,2342,トランスジェニックグループ,195.0,198.9,2000,7800.000000000011,2.0000000000000027,利確,09:45,2.0513,-0.5128,中,13.97425667002047,-13.716814159292035
20251120,7585,かんなん丸,446.0,454.92,800,7136.000000000013,2.0000000000000036,利確,09:06,3.8117,0.0,中,13.209500609013398,7.469879518072298
20251121,7041,ＣＲＧホールディングス,320.0,326.4,1200,7679.999999999973,1.9999999999999927,利確,15:00,6.875,0.0,中,12.253468316460442,-4.191616766467066
20251125,7356,Ｒｅｔｔｙ,145.0,147.9,2700,7830.0000000000155,2.000000000000004,利確,09:36,3.4483,0.0,中,16.052486492446796,-21.62162162162162
20251126,4075,ブレインズテクノロジー,907.0,925.14,400,7255.9999999999945,1.9999999999999987,利確,12:56,3.3076,-0.882,中,9.569012547735952,-6.591143151390321
20251127,7901,マツモト,848.0,839.52,400,-3392.0000000000073,-1.000000000000002,損切り,09:46,0.2358,-2.9481,中,13.473407747866052,-7.119386637458924
20251128,7831,ウイルコホールディングス,100.0,99.0,4000,-4000.0,-1.0,損切り,09:09,9.0,-1.0,中,14.044329554783156,-9.090909090909093
20251201,6158,和井田製作所,881.0,898.62,400,7048.000000000002,2.0000000000000004,利確,13:15,2.1566,-0.454,中,13.965878479497157,0.8009153318077722
20251203,7992,セーラー万年筆,108.0,106.92,3700,-3995.9999999999936,-0.9999999999999984,損切り,09:05,0.0,-1.8519,中,17.28633452648727,-18.181818181818176
20251204,3753,フライトソリューションズ,171.0,174.42000000000002,2300,7866.000000000036,2.0000000000000093,利確,09:12,2.3392,0.0,中,13.88243182834153,5.555555555555558
20251205,6696,トラース・オン・プロダクト,273.0,278.46,1400,7643.999999999971,1.9999999999999925,利確,09:10,2.9304,0.0,中,14.496434427792396,-19.705882352941174
20251208,4662,フォーカスシステムズ,1937.0,1975.74,200,7748.000000000002,2.0000000000000004,利確,09:06,3.872,-0.9809,中,12.352192362093351,-9.696969696969692
20251209,5252,日本ナレッジ,475.0,484.5,800,7600.0,2.0,利確,09:24,3.1579,0.0,中,14.593253968253968,-14.414414414414411
20251210,5031,モイ,260.0,265.2,1500,7799.999999999983,1.9999999999999956,利確,09:11,2.3077,0.0,中,18.363678572613008,-13.33333333333333
20251211,7523,アールビバン,1695.0,1678.05,200,-3390.000000000009,-1.0000000000000027,損切り,12:33,0.295,-1.1799,中,19.066677089033064,1.073345259391778
20251212,3111,オーミケンシ,237.0,234.63,1600,-3792.0000000000073,-1.000000000000002,損切り,09:20,0.4219,-2.1097,中,15.508298755186722,-16.549295774647888
20251215,5591,ＡＶＩＬＥＮ,1199.0,1222.98,300,7194.0000000000055,2.0000000000000013,利確,10:00,5.7548,-0.1668,中,11.388329979879275,-4.992076069730588
20251216,7859,アルメディオ,158.0,161.16,2500,7899.999999999992,1.999999999999998,利確,13:04,2.5316,0.0,中,17.97444589308996,-5.952380952380953
20251217,6166,中村超硬,252.0,257.04,1500,7560.000000000031,2.000000000000008,利確,09:11,5.5556,0.0,中,16.84333929783427,-4.9056603773584895
20251219,3936,グローバルウェイ,120.0,122.4,3300,7920.000000000019,2.000000000000005,利確,09:08,2.5,0.0,中,17.310498289585848,-26.38036809815951
20251222,7602,レダックス,180.0,180.0,2200,0.0,0.0,大引け,15:30,0.0,0.0,中,16.482722639162017,0.0
20251223,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,73.0,72.27,5400,-3942.0000000000214,-1.0000000000000053,損切り,09:06,5.4795,-1.3699,中,12.244267521583808,-8.750000000000002
20251224,2667,イメージ　ワン,178.0,176.22,2200,-3916.0000000000027,-1.0000000000000007,損切り,09:04,2.2472,-2.2472,中,9.484338376305136,7.2289156626506035
20251226,6046,リンクバル,136.0,138.72,2900,7887.999999999996,1.9999999999999991,利確,09:25,2.9412,0.0,中,13.656511971946742,-8.7248322147651
20251230,3681,ブイキューブ,115.0,113.85,3400,-3910.000000000019,-1.0000000000000049,損切り,09:06,0.0,-1.7391,中,13.929461791019502,-12.213740458015266
20260105,6537,ＷＡＳＨハウス,381.0,377.19,1000,-3810.0000000000023,-1.0000000000000004,損切り,09:06,1.5748,-2.0997,中,8.601581878597838,-9.069212410501192
20260106,4888,ステラファーマ,210.0,214.20000000000002,1900,7980.000000000033,2.000000000000008,利確,09:10,2.8571,0.0,中,13.643918113028006,-28.08219178082192
20260107,4814,ネクストウェア,185.0,188.70000000000002,2100,7770.0000000000355,2.000000000000009,利確,09:06,4.8649,-0.5405,中,16.91165289174591,-17.040358744394624
20260108,7074,トゥエンティーフォーセブンホールディングス,208.0,212.16,1900,7903.999999999994,1.9999999999999982,利確,09:01,2.4038,0.0,中,13.730961218482015,-14.049586776859503
20260109,7601,ポプラ,173.0,176.46,2300,7958.000000000018,2.0000000000000044,利確,13:57,2.8902,-0.578,中,14.263731139459749,-4.41988950276243
20260113,2156,セーラー広告,334.0,340.68,1100,7348.000000000007,2.000000000000002,利確,09:04,2.3952,-0.2994,中,15.62634878224232,-2.3391812865497075
20260114,3023,ラサ商事,1880.0,1917.6000000000001,200,7520.000000000027,2.000000000000007,利確,11:26,3.5106,-0.1064,中,14.307604994324633,-7.888290053895153
20260115,4406,新日本理化,253.0,250.47,1500,-3795.000000000002,-1.0000000000000004,損切り,09:03,0.0,-1.1858,中,11.711137517554285,-7.9999999999999964
20260116,6081,アライドアーキテクツ,215.0,219.3,1800,7740.00000000002,2.0000000000000053,利確,12:36,11.6279,-0.9302,中,14.95922599029702,-26.62116040955631
20260119,1401,エムビーエス,1400.0,1428.0,200,5600.0,2.0,利確,09:07,2.5,-0.3571,中,14.828106657722625,-16.417910447761198
20260120,6522,アスタリスク,454.0,463.08,800,7263.999999999987,1.9999999999999967,利確,09:18,3.5242,-0.4405,中,15.880524471572285,3.1818181818181746
20260121,3848,データ・アプリケーション,995.0,985.05,400,-3980.000000000018,-1.0000000000000044,損切り,09:00,0.0,-1.7085,中,14.554507337526204,-9.954751131221718
20260123,3070,ジェリービーンズグループ,83.0,82.17,4800,-3983.999999999992,-0.9999999999999979,損切り,09:03,0.0,-1.2048,中,11.274370912583985,-4.597701149425292
20260126,4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,209.0,206.91,1900,-3971.0000000000064,-1.0000000000000016,損切り,09:09,0.0,-3.8278,中,14.106005952732936,-4.5662100456621
20260128,4241,アテクト,628.0,621.72,600,-3767.9999999999836,-0.9999999999999957,損切り,09:28,0.9554,-1.9108,中,10.165011214354374,-7.511045655375548
20260129,6858,小野測器,687.0,700.74,500,6870.000000000005,2.0000000000000013,利確,12:41,2.1834,-0.4367,中,13.430603873513682,-12.372448979591832
20260130,7022,サノヤスホールディングス,338.0,344.76,1100,7435.99999999999,1.9999999999999973,利確,09:15,4.142,-0.8876,中,16.785955098269362,4.0000000000000036
20260202,2037,ノムラ・ヨーロッパ・ファイナンス・エヌ・ブイ　ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,1276.0,1263.24,300,-3827.9999999999973,-0.9999999999999993,損切り,09:09,0.0,-2.116,中,11.109847366512572,-12.0
20260203,8542,トマト銀行,1603.0,1635.06,200,6411.999999999989,1.9999999999999967,利確,14:00,5.5521,-0.6862,強,7.98432855984869,-7.820586543990804
20260204,3566,ユニフォームネクスト,692.0,705.84,500,6920.000000000016,2.0000000000000044,利確,09:36,2.4566,0.0,中,11.316634553628774,-2.8089887640449396
20260205,3634,ソケッツ,705.0,719.1,500,7050.000000000011,2.000000000000003,利確,09:00,3.9716,0.0,強,7.707581227436823,3.9823008849557473
20260209,7110,クラシコム,2061.0,2040.3899999999999,100,-2061.0000000000127,-1.000000000000006,損切り,09:10,0.0,-1.5041,強,9.511111111111113,3.308270676691727
20260210,6518,三相電機,1100.0,1122.0,300,6600.0,2.0,利確,09:05,3.4545,0.0,強,14.168115942028985,-11.361804995970992
20260212,7898,ウッドワン,1079.0,1100.58,300,6473.999999999978,1.9999999999999931,利確,09:05,2.1316,0.0,強,6.647368421052631,0.7469654528478031
20260216,6494,ＮＦＫホールディングス,142.0,140.58,2800,-3975.999999999965,-0.9999999999999911,損切り,09:09,3.5211,-1.4085,中,17.17606556859277,-6.578947368421051
20260217,7946,光陽社,2140.0,2182.8,100,4280.000000000018,2.0000000000000084,利確,09:37,2.3364,0.0,中,8.242677824267782,-18.66210566324591
20260218,1436,グリーンエナジー＆カンパニー,2701.0,2755.02,100,5401.999999999998,1.9999999999999993,利確,09:06,2.0733,0.0,強,4.918836140888208,-11.297208538587844
20260219,6838,多摩川ホールディングス,878.0,869.22,400,-3511.999999999989,-0.9999999999999969,損切り,09:20,0.1139,-1.139,強,6.189624329159213,-7.869884575026232
20260220,8912,エリアクエスト,172.0,170.28,2300,-3955.9999999999973,-0.9999999999999993,損切り,09:02,0.0,-1.1628,強,6.3654399079931,-0.5780346820809301
20260224,7774,ジャパン・ティッシュエンジニアリング,628.0,621.72,600,-3767.9999999999836,-0.9999999999999957,損切り,09:11,0.9554,-1.2739,中,4.852646337188924,-7.511045655375548
20260225,6772,東京コスモス電機,1375.0,1361.25,200,-2750.0,-1.0,損切り,10:21,1.7455,-1.0909,強,5.563524590163934,-0.506512301013029
20260227,9171,栗林商船,1808.0,1844.16,200,7232.000000000016,2.0000000000000044,利確,09:00,2.4889,0.0,中,13.051840331778122,-16.988062442607898
